month,pounds,month_name
1,45753042.83,Jan
2,18989823.7,Feb
3,11932885.73,March
4,27781078.42,April
5,124993379.3,May
6,91558910.41,June
7,14346043.91,Aug
8,13998456.42,July
9,10029136.01,Oct
10,17015497.28,Sept
11,55430009.04,Nov
12,112597920.5,Dec
